Title:,"Time Series, Area-Averaged of NO2 Tropospheric Column (30% Cloud Screened) daily 0.25 ()"
User Start Date:,2019-01-31T00:00:00Z
User End Date:,2019-05-24T23:59:59Z
User Bounding Box:,"12,40,15,42"
Data Bounding Box:,"12.125,40.125,14.875,41.875"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2019-01-31T00:00:00Z&endtime=2019-05-24T23:59:59Z&bbox=12,40,15,42&data=OMNO2d_003_ColumnAmountNO2TropCloudScreened&variableFacets=dataProductObservation%3AObservation%3BdataFieldDiscipline%3AAtmospheric%20Chemistry%3B&portal=GIOVANNI&format=json"
Fill Value (mean_OMNO2d_003_ColumnAmountNO2TropCloudScreened):, -1.267651e+30

time, mean_OMNO2d_003_ColumnAmountNO2TropCloudScreened
2019-01-31,1.56051302e+15
2019-02-01,1.81090303e+15
2019-02-02,-1.267651e+30
2019-02-03,1.85020655e+15
2019-02-04,-1.267651e+30
2019-02-05,2.39676006e+15
2019-02-06,-1.267651e+30
2019-02-07,1.12262694e+15
2019-02-08,2.56357256e+15
2019-02-09,1.8645402e+15
2019-02-10,8.37237101e+14
2019-02-11,-1.267651e+30
2019-02-12,3.90017229e+15
2019-02-13,-1.267651e+30
2019-02-14,1.58390408e+15
2019-02-15,2.30426757e+14
2019-02-16,5.7661721e+14
2019-02-17,5.76308308e+14
2019-02-18,6.27446806e+14
2019-02-19,6.54128015e+14
2019-02-20,-1.267651e+30
2019-02-21,2.6969474e+15
2019-02-22,-1.267651e+30
2019-02-23,1.07465833e+15
2019-02-24,1.1064429e+15
2019-02-25,4.89923296e+14
2019-02-26,2.15671407e+15
2019-02-27,1.53743824e+14
2019-02-28,1.54117184e+15
2019-03-01,-1.267651e+30
2019-03-02,1.38805532e+15
2019-03-03,7.11842846e+14
2019-03-04,6.03844954e+14
2019-03-05,1.54494752e+15
2019-03-06,9.42686937e+14
2019-03-07,1.60414948e+15
2019-03-08,-1.267651e+30
2019-03-09,1.64208867e+15
2019-03-10,-1.267651e+30
2019-03-11,1.72531303e+14
2019-03-12,1.9520464e+15
2019-03-13,1.67300908e+15
2019-03-14,2.9382545e+15
2019-03-15,2.55174315e+15
2019-03-16,1.07710686e+15
2019-03-17,-1.267651e+30
2019-03-18,8.90988952e+14
2019-03-19,-8.67451726e+14
2019-03-20,-1.267651e+30
2019-03-21,1.28567672e+15
2019-03-22,8.8677465e+14
2019-03-23,1.50050454e+15
2019-03-24,-1.267651e+30
2019-03-25,1.51726162e+15
2019-03-26,-1.267651e+30
2019-03-27,2.75635083e+15
2019-03-28,1.0774359e+15
2019-03-29,1.69129155e+15
2019-03-30,1.57295634e+15
2019-03-31,-1.267651e+30
2019-04-01,2.65997445e+15
2019-04-02,-1.267651e+30
2019-04-03,1.9057947e+15
2019-04-04,-1.267651e+30
2019-04-05,1.03036138e+15
2019-04-06,8.46017759e+14
2019-04-07,-1.267651e+30
2019-04-08,2.00949964e+15
2019-04-09,-1.267651e+30
2019-04-10,1.68639703e+15
2019-04-11,-1.267651e+30
2019-04-12,1.11847156e+15
2019-04-13,6.55466435e+14
2019-04-14,1.04037389e+15
2019-04-15,2.2558446e+15
2019-04-16,1.12923683e+15
2019-04-17,1.9615721e+15
2019-04-18,-1.267651e+30
2019-04-19,2.05088567e+15
2019-04-20,-1.267651e+30
2019-04-21,-1.267651e+30
2019-04-22,-1.267651e+30
2019-04-23,1.2860485e+15
2019-04-24,1.07637618e+15
2019-04-25,-1.267651e+30
2019-04-26,2.06432999e+15
2019-04-27,-1.267651e+30
2019-04-28,1.04147474e+15
2019-04-29,5.35952628e+14
2019-04-30,2.02046831e+15
2019-05-01,9.30821217e+14
2019-05-02,2.65737921e+15
2019-05-03,1.67453621e+15
2019-05-04,-1.267651e+30
2019-05-05,1.35562482e+15
2019-05-06,1.22265948e+15
2019-05-07,1.07840039e+15
2019-05-08,3.32393156e+14
2019-05-09,1.27544745e+15
2019-05-10,6.21355402e+14
2019-05-11,-4.15364475e+14
2019-05-12,1.91206401e+15
2019-05-13,-1.267651e+30
2019-05-14,2.0076383e+15
2019-05-15,1.95016426e+15
2019-05-16,1.60592558e+15
2019-05-17,6.99202087e+14
2019-05-18,9.02682068e+14
2019-05-19,1.74724061e+15
2019-05-20,-1.267651e+30
2019-05-21,2.35619517e+15
2019-05-22,8.24781696e+14
2019-05-23,2.14049439e+15
2019-05-24,1.69704399e+15
