time, mean_OMNO2d_003_ColumnAmountNO2TropCloudScreened,location_name,location_coordinates
2020-01-31,-1.267651e+30,ROME,12E_40N_15E_42N
2020-02-01,4.6366447e+14,ROME,12E_40N_15E_42N
2020-02-02,-1.267651e+30,ROME,12E_40N_15E_42N
2020-02-03,1.03170778e+15,ROME,12E_40N_15E_42N
2020-02-04,1.15337038e+15,ROME,12E_40N_15E_42N
2020-02-05,-1.267651e+30,ROME,12E_40N_15E_42N
2020-02-06,5.50572462e+14,ROME,12E_40N_15E_42N
2020-02-07,-1.267651e+30,ROME,12E_40N_15E_42N
2020-02-08,2.21313102e+15,ROME,12E_40N_15E_42N
2020-02-09,-1.267651e+30,ROME,12E_40N_15E_42N
2020-02-10,-1.267651e+30,ROME,12E_40N_15E_42N
2020-02-11,9.18816381e+14,ROME,12E_40N_15E_42N
2020-02-12,2.43505077e+15,ROME,12E_40N_15E_42N
2020-02-13,8.97766344e+14,ROME,12E_40N_15E_42N
2020-02-14,-1.267651e+30,ROME,12E_40N_15E_42N
2020-02-15,1.25322985e+15,ROME,12E_40N_15E_42N
2020-02-16,-1.267651e+30,ROME,12E_40N_15E_42N
2020-02-17,2.49597139e+15,ROME,12E_40N_15E_42N
2020-02-18,-1.267651e+30,ROME,12E_40N_15E_42N
2020-02-19,5.94568362e+14,ROME,12E_40N_15E_42N
2020-02-20,1.25539169e+15,ROME,12E_40N_15E_42N
2020-02-21,1.30228911e+15,ROME,12E_40N_15E_42N
2020-02-22,1.4756748e+15,ROME,12E_40N_15E_42N
2020-02-23,-1.267651e+30,ROME,12E_40N_15E_42N
2020-02-24,1.68597263e+15,ROME,12E_40N_15E_42N
2020-02-25,-1.267651e+30,ROME,12E_40N_15E_42N
2020-02-26,1.70174711e+15,ROME,12E_40N_15E_42N
2020-02-27,9.53305572e+14,ROME,12E_40N_15E_42N
2020-02-28,3.39595917e+14,ROME,12E_40N_15E_42N
2020-02-29,1.20729531e+15,ROME,12E_40N_15E_42N
2020-03-01,-1.267651e+30,ROME,12E_40N_15E_42N
2020-03-02,1.12902986e+15,ROME,12E_40N_15E_42N
2020-03-03,-1.267651e+30,ROME,12E_40N_15E_42N
2020-03-04,2.46673125e+15,ROME,12E_40N_15E_42N
2020-03-05,3.46760896e+14,ROME,12E_40N_15E_42N
2020-03-06,1.0766463e+15,ROME,12E_40N_15E_42N
2020-03-07,9.03841373e+14,ROME,12E_40N_15E_42N
2020-03-08,2.34603999e+15,ROME,12E_40N_15E_42N
2020-03-09,1.82494878e+15,ROME,12E_40N_15E_42N
2020-03-10,-1.267651e+30,ROME,12E_40N_15E_42N
2020-03-11,1.73899602e+15,ROME,12E_40N_15E_42N
2020-03-12,-1.267651e+30,ROME,12E_40N_15E_42N
2020-03-13,1.29221406e+15,ROME,12E_40N_15E_42N
2020-03-14,1.38607176e+14,ROME,12E_40N_15E_42N
2020-03-15,9.69110851e+14,ROME,12E_40N_15E_42N
2020-03-16,9.20138962e+14,ROME,12E_40N_15E_42N
2020-03-17,1.61654154e+15,ROME,12E_40N_15E_42N
2020-03-18,1.62092522e+15,ROME,12E_40N_15E_42N
2020-03-19,-1.267651e+30,ROME,12E_40N_15E_42N
2020-03-20,1.8713802e+15,ROME,12E_40N_15E_42N
2020-03-21,-1.267651e+30,ROME,12E_40N_15E_42N
2020-03-22,1.24255887e+15,ROME,12E_40N_15E_42N
2020-03-23,6.79743872e+14,ROME,12E_40N_15E_42N
2020-03-24,1.31451648e+15,ROME,12E_40N_15E_42N
2020-03-25,9.52221429e+14,ROME,12E_40N_15E_42N
2020-03-26,-1.267651e+30,ROME,12E_40N_15E_42N
2020-03-27,1.67853952e+15,ROME,12E_40N_15E_42N
2020-03-28,-1.267651e+30,ROME,12E_40N_15E_42N
2020-03-29,1.52135473e+15,ROME,12E_40N_15E_42N
2020-03-30,4.98854982e+14,ROME,12E_40N_15E_42N
2020-03-31,1.0408166e+15,ROME,12E_40N_15E_42N
2020-04-01,-3.57821342e+14,ROME,12E_40N_15E_42N
2020-04-02,1.49506899e+15,ROME,12E_40N_15E_42N
2020-04-03,1.63195483e+15,ROME,12E_40N_15E_42N
2020-04-04,-1.267651e+30,ROME,12E_40N_15E_42N
2020-04-05,1.70366092e+15,ROME,12E_40N_15E_42N
2020-04-06,1.00565572e+15,ROME,12E_40N_15E_42N
2020-04-07,1.16986923e+15,ROME,12E_40N_15E_42N
2020-04-08,7.3552637e+14,ROME,12E_40N_15E_42N
2020-04-09,2.80675576e+15,ROME,12E_40N_15E_42N
2020-04-10,1.48211228e+15,ROME,12E_40N_15E_42N
2020-04-11,-1.267651e+30,ROME,12E_40N_15E_42N
2020-04-12,1.38522775e+15,ROME,12E_40N_15E_42N
2020-04-13,-1.267651e+30,ROME,12E_40N_15E_42N
2020-04-14,1.33108418e+15,ROME,12E_40N_15E_42N
2020-04-15,2.25785659e+14,ROME,12E_40N_15E_42N
2020-04-16,1.31088871e+15,ROME,12E_40N_15E_42N
2020-04-17,6.15991927e+14,ROME,12E_40N_15E_42N
2020-04-18,1.52841579e+15,ROME,12E_40N_15E_42N
2020-04-19,2.08496194e+15,ROME,12E_40N_15E_42N
2020-04-20,-1.267651e+30,ROME,12E_40N_15E_42N
2020-04-21,-1.267651e+30,ROME,12E_40N_15E_42N
2020-04-22,-5.99772856e+14,ROME,12E_40N_15E_42N
2020-04-23,4.35280843e+14,ROME,12E_40N_15E_42N
2020-04-24,8.18588621e+14,ROME,12E_40N_15E_42N
2020-04-25,1.10779581e+15,ROME,12E_40N_15E_42N
