Content,Date
"RT @#####: Wuhan Virology institute director says she has three strains of coronavirus on site but none of them match COVID-19 https:/…",2020-05-25
"RT @#####: Italian gallery introduces tags to keep visitors 1.5 metres apart https://t.co/Po9c5Y41gM",
"RT @#####: Let's hope for the best from Moderna's vaccine. FYI, science has never produced a vaccine for any coronavirus that hits…",2020-05-25
"RT @#####: Wuhan lab admits to having three live strains of bat coronavirus on site https://t.co/E8HofFBsuO https://t.co/mZRSDFgfV7",2020-05-25
"RT @#####: Start-ups race to develop Covid-19 immunity passports https://t.co/2cf1kDzEe6",2020-05-24
"RT @#####: The virus has opened doors for surveillance and monitoring technologies. https://t.co/Q9eRLocD2t",2020-05-24
"RT @#####: Trump announces three days of mourning for the victims of coronavirus https://t.co/FGxN3qci8Z",2020-05-22
"EP 4) URGENT: COVID-19 PREDICTED BY US MILITARY INTELLIGENCE https://t.co/h9LzU76pb8 via @#####",2020-05-20
"EP 5) ALERT: COVID-19 FALLOUT IS OUT OF OUR CONTROL https://t.co/KQRnLQMZRE via @#####",2020-05-20
"EP 6) COVID-19 Death rate approaching a dangerous level! https://t.co/AjpwfMqavr via @#####",2020-05-20
"EP 7) COVID-19 CONFIRMS GLOBAL THREAT FROM THE KILLSHOT! https://t.co/jymnBnbqnn via @#####",2020-05-20
"EP 8) CORONAVIRUS - WE ARE NOT PREPARED FOR WHAT COMES NEXT! https://t.co/9rh12TBwh3 via @#####",2020-05-20
"RT @#####: Hackers disrupt COVID-19 research by remotely hijacking supercomputers across Europe https://t.co/3KFnG2xE2g",2020-05-19
"RT @#####: Du Wei, 58, the Chinese ambassador to Israel was found dead in his home north of Tel Aviv on Sunday. He was appointed as envo…",2020-05-17
"RT @#####: Professor Lockdown's modelling which predicted 500,000 would die from Covid-19 is a 'mess which would get you fired' https…",2020-05-17
"Researchers create durable, washable textile coating that can repel viruses https://t.co/LYWq7X6Mhj via @#####_com",2020-05-16
"Supercomputers in Europe being used to research Covid-19 were hacked this week https://t.co/DNtdw36qxx via @#####",2020-05-16
"RT @#####: We’ve launched our COVID-19 Antibody Test! These taken-at-home, lab-analysed tests are available to anyone in the UK, a…",2020-05-16
"RT @#####: This Bill Gates-backed program in Seattle is sending at-home COVID tests to anyone who wants one https://t.co/XMOec7Mko3",2020-05-16
"RT @#####: This weekend, we must all continue to stay alert and control the virus. #StayAlert https://t.co/UQJ9QbHWrJ",2020-05-16
