Content,Date
"RT @#####: Wuhan Virology institute director says she has three strains of coronavirus on site but none of them match COVID-19 https:/…","May 25, 2020"
"RT @#####: Italian gallery introduces tags to keep visitors 1.5 metres apart https://t.co/Po9c5Y41gM","May 25, 2020"
"RT @#####: Let's hope for the best from Moderna's vaccine. FYI, science has never produced a vaccine for any coronavirus that hits…","May 25, 2020"
"RT @#####: Wuhan lab admits to having three live strains of bat coronavirus on site https://t.co/E8HofFBsuO https://t.co/mZRSDFgfV7","May 25, 2020"
"RT @#####: Start-ups race to develop Covid-19 immunity passports https://t.co/2cf1kDzEe6","May 24, 2020"
"RT @#####: The virus has opened doors for surveillance and monitoring technologies. https://t.co/Q9eRLocD2t","May 24, 2020"
"RT @#####: Trump announces three days of mourning for the victims of coronavirus https://t.co/FGxN3qci8Z","May 22, 2020"
"EP 4) URGENT: COVID-19 PREDICTED BY US MILITARY INTELLIGENCE https://t.co/h9LzU76pb8 via @#####","May 20, 2020"
"EP 5) ALERT: COVID-19 FALLOUT IS OUT OF OUR CONTROL https://t.co/KQRnLQMZRE via @#####","May 20, 2020"
"EP 6) COVID-19 Death rate approaching a dangerous level! https://t.co/AjpwfMqavr via @#####","May 20, 2020"
"EP 7) COVID-19 CONFIRMS GLOBAL THREAT FROM THE KILLSHOT! https://t.co/jymnBnbqnn via @#####","May 20, 2020"
"EP 8) CORONAVIRUS - WE ARE NOT PREPARED FOR WHAT COMES NEXT! https://t.co/9rh12TBwh3 via @#####","May 20, 2020"
"RT @#####: Hackers disrupt COVID-19 research by remotely hijacking supercomputers across Europe https://t.co/3KFnG2xE2g","May 19, 2020"
"RT @#####: Du Wei, 58, the Chinese ambassador to Israel was found dead in his home north of Tel Aviv on Sunday. He was appointed as envo…","May 17, 2020"
"RT @#####: Professor Lockdown's modelling which predicted 500,000 would die from Covid-19 is a 'mess which would get you fired' https…","May 17, 2020"
"Researchers create durable, washable textile coating that can repel viruses https://t.co/LYWq7X6Mhj via @#####_com","May 16, 2020"
"Supercomputers in Europe being used to research Covid-19 were hacked this week https://t.co/DNtdw36qxx via @#####","May 16, 2020"
"RT @#####: We’ve launched our COVID-19 Antibody Test! These taken-at-home, lab-analysed tests are available to anyone in the UK, a…","May 16, 2020"
"RT @#####: This Bill Gates-backed program in Seattle is sending at-home COVID tests to anyone who wants one https://t.co/XMOec7Mko3","May 16, 2020"
"RT @#####: This weekend, we must all continue to stay alert and control the virus. #StayAlert https://t.co/UQJ9QbHWrJ","May 16, 2020"
"RT @#####: Church in Australia selling bleach as a coronavirus treatment fined $151,200 https://t.co/P69zphP8tc","May 13, 2020"
"RT @#####: Choir practice during Covid19. Not a s"Mart move. https://t.co/JUeXndDZ1O","May 13, 2020"
"RT @#####: We will beat this virus together. Please continue to stay alert, and follow the latest guidelines: https://t.co/ZDw2aAM…","May 13, 2020"
"RT @#####: Ultraviolet light has been in use for decades in hospitals and operating rooms. So can it be used to help stop the spread of COVI…","May 13, 2020"
"RT @#####_com: It's like playing 'Russian Roulette,' but with #COVID19 instead of bullets. https://t.co/U7RsBThuMN","May 13, 2020"
"RT @#####: 3) Herd immunity thrown under the bus by an Irishman. https://t.co/60CFf1Lin0 https://t.co/4nYCQ36SLA","May 13, 2020"
"RT @#####: If 80% of Americans Wore Masks, COVID-19 Infections Would Plummet, New Study Says. #COVID19 https://t.co/qJCBRC3ejC","May 13, 2020"
"RT @#####: NYC could stay partially closed until August https://t.co/BgwXhFHbzs","May 12, 2020"
"RT @#####: #Coronavirus: What the quarantine deal between the UK and France means for your holiday plans https://t.co/CbVg9JooNL","May 11, 2020"
"RT @#####: The #COVID19 crisis represents a critically important moment of transformation for all sectors of the US healthcare industry.…","May 11, 2020"
"RT @#####: ??TAKE HEED: What happened in South Korea is pretty much what you'd expect: An infected person went to several clubs in 1 n…","May 11, 2020"
"RT @#####: Germany's R rate climbs further above 1 as country RELAXES coronavirus restrictions https://t.co/3JNXJG5Fdt","May 11, 2020"
"RT @#####: Analysis of cellphone location data in Wuhan virology lab that studied coronavirus shutdown in October after 'hazardous eve…","May 10, 2020"
"RT @#####: Copper kills coronavirus. Why aren’t our surfaces covered in it? https://t.co/L84ADkFpFG","May 09, 2020"
"RT @#####"FeboatHQ: NASA, partners launch virtual hackathon to develop COVID-19 solutions https://t.co/GwaXWjQdA3","May 09, 2020"
"RT @#####: A decade of job gains, gone https://t.co/JVQ0EeTCuh","May 08, 2020"
"RT @#####: 14.7% official unemployment rate. Worst since the Great Depression. And doesn’t come close to reflecting how many people…","May 08, 2020"
"RT @#####: Thank you for all that you are doing to protect our NHS and save lives. #StayHomeSaveLives https://t.co/xN5HGVnwgx","May 08, 2020"
"RT @#####: Covidiot dressed as 17th century Black Death physician is spotted in north London https://t.co/9ZKHaFyn2C","May 08, 2020"
"Real Doctor Reacts to CONTAGION | Did It Predict COVID-19? https://t.co/8tNwnE06Re via @#####","May 08, 2020"
"RT @#####: 75 years on, we are a free people because of everything they did. Our gratitude will be eternal. #VEDay75 https://t.co/r7…","May 08, 2020"
